Gene end (bp),Gene start (bp),Gene name,Gene stable ID,Source of gene name,Gene Synonym
16390887,16387694,ABCD1P4,ENSG00000225293,HGNC Symbol,
16405417,16405330,,ENSG00000226160,,
16426031,16423943,PABPC1P9,ENSG00000229658,HGNC Symbol,
16476870,16428947,SLC9B1P4,ENSG00000227367,HGNC Symbol,
16488322,16486985,ACTR3BP6,ENSG00000280263,HGNC Symbol,
16509475,16503304,CHEK2P4,ENSG00000235969,HGNC Symbol,
16527237,16521059,,ENSG00000273362,,
16574637,16572027,,ENSG00000233995,,
16582707,16575363,KCNMB3P1,ENSG00000239435,HGNC Symbol,KCNMB2L
16582707,16575363,KCNMB3P1,ENSG00000239435,HGNC Symbol,KCNMB3L
16582707,16575363,KCNMB3P1,ENSG00000239435,HGNC Symbol,KCNMB3L1
16582707,16575363,KCNMB3P1,ENSG00000239435,HGNC Symbol,KCNMBLP
16592810,16590751,CCT8L2,ENSG00000198445,HGNC Symbol,CESK1
16600110,16592895,,ENSG00000287285,,
16595485,16595089,FABP5P11,ENSG00000240122,HGNC Symbol,FABP5L11
16595485,16595089,FABP5P11,ENSG00000240122,HGNC Symbol,FABP5P1
16698742,16601887,TPTEP1,ENSG00000100181,HGNC Symbol,psiTPTE22
16615111,16601911,,ENSG00000283633,,
16617114,16616170,,ENSG00000267338,,
16646581,16645695,SLC25A15P5,ENSG00000249288,HGNC Symbol,
16659628,16653892,PARP4P3,ENSG00000249263,HGNC Symbol,ADPRTL4
16675540,16654066,ANKRD62P1-PARP4P3,ENSG00000189295,HGNC Symbol,VWFP1-ANKRD62P1-PARP4P3
16679493,16671090,ANKRD62P1,ENSG00000259271,HGNC Symbol,
16694648,16676016,,ENSG00000273244,,
16704477,16690103,VWFP1,ENSG00000241717,HGNC Symbol,F8VWFL
16704477,16690103,VWFP1,ENSG00000241717,HGNC Symbol,F8VWFP
16704477,16690103,VWFP1,ENSG00000241717,HGNC Symbol,VWFP
16747761,16725072,,ENSG00000288024,,
16748645,16746628,LINC01665,ENSG00000235343,HGNC Symbol,
16825411,16783412,XKR3,ENSG00000172967,HGNC Symbol,MGC57211
16825411,16783412,XKR3,ENSG00000172967,HGNC Symbol,XTES
16829335,16827474,HSFY1P1,ENSG00000229027,HGNC Symbol,CECR8
16829335,16827474,HSFY1P1,ENSG00000229027,HGNC Symbol,HSFYL1
16829335,16827474,HSFY1P1,ENSG00000229027,HGNC Symbol,HSFYP1
16837666,16837522,GPM6BP3,ENSG00000234121,HGNC Symbol,
16846357,16844399,,ENSG00000283535,,
16856162,16855804,,ENSG00000237835,,
16860718,16857619,ZNF402P,ENSG00000220248,HGNC Symbol,
16871126,16869478,,ENSG00000237689,,
16876421,16876218,MTND1P17,ENSG00000228122,HGNC Symbol,
16876902,16876552,,ENSG00000237358,,
16897546,16897445,,ENSG00000225480,,
16904696,16904219,IGKV1OR22-5,ENSG00000230481,HGNC Symbol,IGKV1/OR22-5
16904696,16904219,IGKV1OR22-5,ENSG00000230481,HGNC Symbol,IGKV1/OR22-5A
16904696,16904219,IGKV1OR22-5,ENSG00000230481,HGNC Symbol,IGKV1OR22-5A
16904696,16904219,IGKV1OR22-5,ENSG00000230481,HGNC Symbol,IGKVP7
16914981,16914235,IGKV2OR22-4,ENSG00000253691,HGNC Symbol,IGKV2/OR22-4
16914981,16914235,IGKV2OR22-4,ENSG00000253691,HGNC Symbol,IGKVP6
16922173,16921443,IGKV2OR22-3,ENSG00000253460,HGNC Symbol,IGKV2/OR22-3
16922173,16921443,IGKV2OR22-3,ENSG00000253460,HGNC Symbol,IGKVP4
16926444,16925952,IGKV3OR22-2,ENSG00000254264,HGNC Symbol,IGKV3/OR22-2
16926444,16925952,IGKV3OR22-2,ENSG00000254264,HGNC Symbol,IGKVP3
16934003,16933521,IGKV1OR22-1,ENSG00000253481,HGNC Symbol,IGKV1/OR22-1
16934003,16933521,IGKV1OR22-1,ENSG00000253481,HGNC Symbol,IGKVP5
16956808,16953895,,ENSG00000285045,,
17008222,16961936,GAB4,ENSG00000215568,HGNC Symbol,
17012932,17012404,,ENSG00000270226,,
17022570,17021398,VN1R9P,ENSG00000276400,HGNC Symbol,VN1R22-1P
17060825,17036570,CECR7,ENSG00000237438,HGNC Symbol,SAHL1
17070675,17067821,,ENSG00000273203,,
17081456,17080701,,ENSG00000273442,,
17115694,17084954,IL17RA,ENSG00000177663,HGNC Symbol,CD217
17115694,17084954,IL17RA,ENSG00000177663,HGNC Symbol,CDw217
17115694,17084954,IL17RA,ENSG00000177663,HGNC Symbol,hIL-17R
17115694,17084954,IL17RA,ENSG00000177663,HGNC Symbol,IL-17RA
17115694,17084954,IL17RA,ENSG00000177663,HGNC Symbol,IL17R
17093939,17093612,,ENSG00000235328,,
17121367,17116297,TMEM121B,ENSG00000183307,HGNC Symbol,CECR6
17132105,17121530,LINC01664,ENSG00000235478,HGNC Symbol,
17165287,17137511,HDHD5,ENSG00000069998,HGNC Symbol,CECR5
17165447,17159352,HDHD5-AS1,ENSG00000185837,HGNC Symbol,CECR4
17165447,17159352,HDHD5-AS1,ENSG00000185837,HGNC Symbol,CECR5-AS1
17165447,17159352,HDHD5-AS1,ENSG00000185837,HGNC Symbol,NCRNA00017
17258235,17178790,ADA2,ENSG00000093072,HGNC Symbol,ADGF
17258235,17178790,ADA2,ENSG00000093072,HGNC Symbol,CECR1
17258235,17178790,ADA2,ENSG00000093072,HGNC Symbol,IDGFL
17193308,17192936,RPL32P5,ENSG00000236325,HGNC Symbol,RPL32L2
17214155,17213516,FAM32BP,ENSG00000203416,HGNC Symbol,FAM32B
17266733,17256859,CECR3,ENSG00000241832,HGNC Symbol,
17329232,17329034,CECR9,ENSG00000231004,HGNC Symbol,
17353177,17352881,RN7SL843P,ENSG00000239547,HGNC Symbol,
17558151,17359949,CECR2,ENSG00000099954,HGNC Symbol,KIAA1740
17419828,17418697,,ENSG00000229492,,
17424775,17424388,CLCP1,ENSG00000232305,HGNC Symbol,
17519029,17518676,DNAJA1P6,ENSG00000228045,HGNC Symbol,
17570078,17521514,,ENSG00000286195,,
17590995,17563450,SLC25A18,ENSG00000182902,HGNC Symbol,
17589192,17580157,,ENSG00000236754,,
17628749,17592136,ATP6V1E1,ENSG00000131100,HGNC Symbol,ATP6E
17628749,17592136,ATP6V1E1,ENSG00000131100,HGNC Symbol,ATP6E2
17628749,17592136,ATP6V1E1,ENSG00000131100,HGNC Symbol,ATP6V1E
17628749,17592136,ATP6V1E1,ENSG00000131100,HGNC Symbol,P31
17628749,17592136,ATP6V1E1,ENSG00000131100,HGNC Symbol,Vma4
17730855,17628855,BCL2L13,ENSG00000099968,HGNC Symbol,BCL-RAMBO
17730855,17628855,BCL2L13,ENSG00000099968,HGNC Symbol,MIL1
17774770,17734138,BID,ENSG00000015475,HGNC Symbol,
17764259,17764180,MIR3198-1,ENSG00000264757,HGNC Symbol,hsa-mir-3198-1
17764259,17764180,MIR3198-1,ENSG00000264757,HGNC Symbol,MIR3198
17779481,17777322,LINC00528,ENSG00000269220,HGNC Symbol,C22orf37
17779481,17777322,LINC00528,ENSG00000269220,HGNC Symbol,FLJ40542
18024561,17787649,MICAL3,ENSG00000243156,HGNC Symbol,KIAA0819
17811497,17787652,,ENSG00000093100,,
17802035,17800722,,ENSG00000286990,,
17980961,17980868,MIR648,ENSG00000207780,HGNC Symbol,hsa-mir-648
17980961,17980868,MIR648,ENSG00000207780,HGNC Symbol,MIRN648
17983619,17983205,,ENSG00000235445,,
18007308,18004270,,ENSG00000234913,,
18020200,18019214,RHEBP3,ENSG00000237446,HGNC Symbol,
18037970,18029385,LINC01634,ENSG00000235295,HGNC Symbol,
18078884,18076527,,ENSG00000225335,,
18105396,18077923,PEX26,ENSG00000215193,HGNC Symbol,FLJ20695
18131720,18077989,,ENSG00000288683,,
18081675,18081466,,ENSG00000236890,,
18101888,18101612,,ENSG00000235617,,
18103649,18102457,ARL2BPP10,ENSG00000225225,HGNC Symbol,
18146683,18110100,TUBA8,ENSG00000183785,HGNC Symbol,TUBAL2
18131154,18110759,,ENSG00000280007,,
18177397,18150170,USP18,ENSG00000184979,HGNC Symbol,
18205915,18178038,FAM230D,ENSG00000187979,HGNC Symbol,AC008079.1
18205915,18178038,FAM230D,ENSG00000187979,HGNC Symbol,LINC02592
18345899,18340145,GGTLC5P,ENSG00000276160,HGNC Symbol,
18361190,18349976,,ENSG00000288811,,
18391105,18361820,FAM230J,ENSG00000274044,HGNC Symbol,LINC01660
18375689,18374106,,ENSG00000276874,,
18404206,18400407,PPP1R26P3,ENSG00000275060,HGNC Symbol,KIAA0649P3
18500594,18422244,FAM230A,ENSG00000277870,HGNC Symbol,DGCR15
18491247,18486999,,ENSG00000277017,,
18512187,18501794,FAM247B,ENSG00000278044,HGNC Symbol,
18518161,18516344,GGTLC3,ENSG00000274252,HGNC Symbol,
18524935,18524620,Metazoa_SRP,ENSG00000275319,RFAM,
18527626,18527157,,ENSG00000277690,,
18530573,18527802,TMEM191B,ENSG00000278558,HGNC Symbol,
18577968,18533646,PI4KAP1,ENSG00000274602,HGNC Symbol,
18605497,18605355,,ENSG00000274625,,
18606102,18605802,RN7SKP131,ENSG00000222630,HGNC Symbol,
18611919,18605815,RIMBP3,ENSG00000275793,HGNC Symbol,KIAA1666
18611919,18605815,RIMBP3,ENSG00000275793,HGNC Symbol,RIMBP3.1
18611919,18605815,RIMBP3,ENSG00000275793,HGNC Symbol,RIMBP3A
18615900,18615581,Metazoa_SRP,ENSG00000275362,RFAM,
18625289,18623339,SUSD2P2,ENSG00000278110,HGNC Symbol,
18634682,18633984,FAM246B,ENSG00000286175,HGNC Symbol,
18638405,18636445,CA15P2,ENSG00000273907,HGNC Symbol,
18653617,18650023,PPP1R26P2,ENSG00000273643,HGNC Symbol,KIAA0649P2
18719341,18715815,PPP1R26P4,ENSG00000278008,HGNC Symbol,KIAA0649P4
18757906,18733914,FAM230E,ENSG00000182824,HGNC Symbol,LINC01662
18843399,18773665,GGT3P,ENSG00000197421,HGNC Symbol,GGT3
18794804,18794414,,ENSG00000239989,,
18834438,18833694,E2F6P1,ENSG00000234764,HGNC Symbol,
18861049,18846811,,ENSG00000161103,,
18858640,18855621,BCRP7,ENSG00000215544,HGNC Symbol,
18894407,18873543,FAM230F,ENSG00000276095,HGNC Symbol,LINC01663
18884682,18883502,,ENSG00000279987,,
18914238,18906028,DGCR6,ENSG00000183628,HGNC Symbol,
18947732,18906238,,ENSG00000283809,,
18936553,18912777,PRODH,ENSG00000100033,HGNC Symbol,HSPOX2
18936553,18912777,PRODH,ENSG00000100033,HGNC Symbol,PIG6
18936553,18912777,PRODH,ENSG00000100033,HGNC Symbol,PRODH1
18936553,18912777,PRODH,ENSG00000100033,HGNC Symbol,PRODH2
18936553,18912777,PRODH,ENSG00000100033,HGNC Symbol,TP53I6
18947741,18936411,,ENSG00000284294,,
18959512,18951934,,ENSG00000280418,,
19031242,18970439,DGCR5,ENSG00000273032,NCBI gene (formerly Entrezgene),DGCR10
19031242,18970439,DGCR5,ENSG00000273032,NCBI gene (formerly Entrezgene),DGCR9
19031242,18970439,DGCR5,ENSG00000273032,NCBI gene (formerly Entrezgene),DGS-A
19031242,18970439,DGCR5,ENSG00000273032,NCBI gene (formerly Entrezgene),DGS-B
19031242,18970439,DGCR5,ENSG00000273032,NCBI gene (formerly Entrezgene),LINC00037
19031242,18970439,DGCR5,ENSG00000273032,NCBI gene (formerly Entrezgene),NCRNA00037
19031242,18970439,DGCR5,ENSG00000273032,NCBI gene (formerly Entrezgene),POM121L5P
18981325,18980695,,ENSG00000283583,,
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,DGCR10
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,DGCR9
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,DGS-A
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,DGS-B
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,LINC00037
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,NCRNA00037
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,POM121L5P
18994501,18985836,DGCR5,ENSG00000237517,HGNC Symbol,X91348
18997595,18997138,,ENSG00000271275,,
19014506,19014353,,ENSG00000283366,,
19018916,19018043,,ENSG00000270393,,
19031242,19029524,FAM246C,ENSG00000286025,HGNC Symbol,
19034564,19031564,CA15P1,ENSG00000241527,HGNC Symbol,
19122454,19036282,DGCR2,ENSG00000070413,HGNC Symbol,DGS-C
19122454,19036282,DGCR2,ENSG00000070413,HGNC Symbol,IDD
19122454,19036282,DGCR2,ENSG00000070413,HGNC Symbol,KIAA0163
19122454,19036282,DGCR2,ENSG00000070413,HGNC Symbol,LAN
19122454,19036282,DGCR2,ENSG00000070413,HGNC Symbol,SEZ-12
19045367,19045256,Y_RNA,ENSG00000206739,RFAM,
19048375,19046162,DGCR11,ENSG00000273311,HGNC Symbol,DGS-D
19056512,19055801,,ENSG00000237347,,
19061843,19061041,,ENSG00000281530,,
19124503,19121529,,ENSG00000223461,,
19128449,19124309,,ENSG00000272682,,
19125646,19124879,TSSK1A,ENSG00000231086,HGNC Symbol,SPOGA1
19125646,19124879,TSSK1A,ENSG00000231086,HGNC Symbol,STK22A
19125646,19124879,TSSK1A,ENSG00000231086,HGNC Symbol,TSSK1
19125646,19124879,TSSK1A,ENSG00000231086,HGNC Symbol,TSSK1AP
19125646,19124879,TSSK1A,ENSG00000231086,HGNC Symbol,TSSK7P
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,bis1
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,DGCR13
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,DGCR14
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,DGS-H
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,DGSI
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,ES2
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,Es2el
19144684,19130279,ESS2,ENSG00000100056,HGNC Symbol,ESS-2
19132622,19131308,TSSK2,ENSG00000206203,HGNC Symbol,FLJ38613
19132622,19131308,TSSK2,ENSG00000206203,HGNC Symbol,SPOGA2
19132622,19131308,TSSK2,ENSG00000206203,HGNC Symbol,STK22B
19150292,19146993,GSC2,ENSG00000063515,HGNC Symbol,GSCL
19171614,19170897,,ENSG00000289481,,
19172839,19171395,LINC01311,ENSG00000260924,HGNC Symbol,
19178739,19175581,SLC25A1,ENSG00000100075,HGNC Symbol,CTP
19178739,19175581,SLC25A1,ENSG00000100075,HGNC Symbol,SLC20A3
19291719,19179473,CLTCL1,ENSG00000070371,HGNC Symbol,CHC22
19291719,19179473,CLTCL1,ENSG00000070371,HGNC Symbol,CLH22
19291719,19179473,CLTCL1,ENSG00000070371,HGNC Symbol,CLTCL
19291719,19179473,CLTCL1,ENSG00000070371,HGNC Symbol,CLTD
19200083,19196402,,ENSG00000286367,,
19238739,19238443,,ENSG00000230194,,
19249966,19249873,,ENSG00000251940,,
19258806,19257520,KRT18P62,ENSG00000233471,HGNC Symbol,
19328901,19291969,,ENSG00000287146,,
19447450,19330698,HIRA,ENSG00000100084,HGNC Symbol,DGCR1
19447450,19330698,HIRA,ENSG00000100084,HGNC Symbol,TUP1
19447450,19330698,HIRA,ENSG00000100084,HGNC Symbol,TUPLE1
19447711,19351368,C22orf39,ENSG00000242259,HGNC Symbol,MGC74441
19366044,19365766,RN7SL168P,ENSG00000244296,HGNC Symbol,
19436075,19432545,MRPL40,ENSG00000185608,HGNC Symbol,MRP-L22
19436075,19432545,MRPL40,ENSG00000185608,HGNC Symbol,NLVCF
19450105,19447893,,ENSG00000185065,,
19479202,19449911,UFD1,ENSG00000070010,HGNC Symbol,UFD1L
19454605,19454179,,ENSG00000273300,,
19456962,19456503,,ENSG00000273212,,
19520612,19479457,CDC45,ENSG00000093009,HGNC Symbol,CDC45L
19520612,19479457,CDC45,ENSG00000093009,HGNC Symbol,CDC45L2
19522769,19520572,,ENSG00000287652,,
19527545,19523024,CLDN5,ENSG00000184113,HGNC Symbol,AWAL
19527545,19523024,CLDN5,ENSG00000184113,HGNC Symbol,BEC1
19527545,19523024,CLDN5,ENSG00000184113,HGNC Symbol,CPETRL1
19527545,19523024,CLDN5,ENSG00000184113,HGNC Symbol,TMVCF
19566839,19565203,LINC00895,ENSG00000281548,HGNC Symbol,
19633574,19630750,,ENSG00000230485,,
19667555,19667023,,ENSG00000225007,,
19724224,19714503,SEPTIN5,ENSG00000184702,HGNC Symbol,H5
19724224,19714503,SEPTIN5,ENSG00000184702,HGNC Symbol,HCDCREL-1
19724224,19714503,SEPTIN5,ENSG00000184702,HGNC Symbol,PNUTL1
19724224,19714503,SEPTIN5,ENSG00000184702,HGNC Symbol,SEPT5
19724772,19717220,,ENSG00000284874,,
19724771,19723539,GP1BB,ENSG00000203618,HGNC Symbol,CD42c
19724771,19723539,GP1BB,ENSG00000203618,HGNC Symbol,GPIbbeta
19783593,19756703,TBX1,ENSG00000184058,HGNC Symbol,CATCH22
19783593,19756703,TBX1,ENSG00000184058,HGNC Symbol,VCF
19854939,19783223,GNB1L,ENSG00000185838,HGNC Symbol,GY2
19854939,19783223,GNB1L,ENSG00000185838,HGNC Symbol,WDR14
19793094,19792294,,ENSG00000235776,,
19854896,19846138,RTL10,ENSG00000215012,HGNC Symbol,BOP
19854896,19846138,RTL10,ENSG00000215012,HGNC Symbol,C22orf29
19854896,19846138,RTL10,ENSG00000215012,HGNC Symbol,FLJ21125
19941820,19875517,TXNRD2,ENSG00000184470,HGNC Symbol,SELZ
19941820,19875517,TXNRD2,ENSG00000184470,HGNC Symbol,TR
19941820,19875517,TXNRD2,ENSG00000184470,HGNC Symbol,TR3
19941820,19875517,TXNRD2,ENSG00000184470,HGNC Symbol,TRXR2
19887970,19887289,,ENSG00000232926,,
19969975,19941371,COMT,ENSG00000093010,HGNC Symbol,
19963834,19963753,MIR4761,ENSG00000284031,HGNC Symbol,hsa-mir-4761
20016823,19969896,ARVCF,ENSG00000099889,HGNC Symbol,
20067164,20017014,TANGO2,ENSG00000183597,HGNC Symbol,C22orf25
20067164,20017014,TANGO2,ENSG00000183597,HGNC Symbol,DKFZp761P1121
20033220,20033139,MIR185,ENSG00000208023,HGNC Symbol,hsa-mir-185
20033220,20033139,MIR185,ENSG00000208023,HGNC Symbol,MIRN185
20070569,20058030,,ENSG00000236540,,
20065705,20064552,,ENSG00000268292,,
20070965,20070716,Metazoa_SRP,ENSG00000277950,RFAM,
20111877,20080232,DGCR8,ENSG00000128191,HGNC Symbol,C22orf12
20111877,20080232,DGCR8,ENSG00000128191,HGNC Symbol,DGCRK6
20111877,20080232,DGCR8,ENSG00000128191,HGNC Symbol,Gy1
20111877,20080232,DGCR8,ENSG00000128191,HGNC Symbol,pasha
20085833,20085746,MIR3618,ENSG00000284140,HGNC Symbol,hsa-mir-3618
20086142,20086058,MIR1306,ENSG00000284464,HGNC Symbol,hsa-mir-1306
20086142,20086058,MIR1306,ENSG00000284464,HGNC Symbol,MIRN1306
20111875,20110821,,ENSG00000243762,,
20117392,20111875,TRMT2A,ENSG00000099899,HGNC Symbol,HTF9C
20114751,20114686,MIR6816,ENSG00000278278,HGNC Symbol,hsa-mir-6816
20127355,20115938,RANBP1,ENSG00000099901,HGNC Symbol,HTF9A
20126526,20126402,SNORA77B,ENSG00000264346,HGNC Symbol,
20148007,20129456,ZDHHC8,ENSG00000099904,HGNC Symbol,KIAA1292
20148007,20129456,ZDHHC8,ENSG00000099904,HGNC Symbol,ZNF378
20151055,20148416,CCDC188,ENSG00000234409,HGNC Symbol,
20204918,20198729,LINC02891,ENSG00000249923,HGNC Symbol,lnc-RTN4R-1
20208524,20206397,LINC00896,ENSG00000236499,HGNC Symbol,FLJ32575
20283246,20241415,RTN4R,ENSG00000040608,HGNC Symbol,NOGOR
20249211,20249134,MIR1286,ENSG00000221039,HGNC Symbol,hsa-mir-1286
20249211,20249134,MIR1286,ENSG00000221039,HGNC Symbol,MIRN1286
20313216,20299760,,ENSG00000161132,,
20320080,20314238,DGCR6L,ENSG00000128185,HGNC Symbol,FLJ10666
20318749,20318119,,ENSG00000273343,,
20321203,20320739,,ENSG00000273139,,
20354372,20338805,FAM230G,ENSG00000188280,HGNC Symbol,AC007731.1
20344365,20343203,,ENSG00000235578,,
20354387,20348758,,ENSG00000287446,,
20377251,20350578,USP41,ENSG00000161133,HGNC Symbol,
20408461,20394115,ZNF74,ENSG00000185252,HGNC Symbol,Cos52
20408461,20394115,ZNF74,ENSG00000185252,HGNC Symbol,Zfp520
20408461,20394115,ZNF74,ENSG00000185252,HGNC Symbol,ZNF520
20416899,20416797,RNU6-225P,ENSG00000207343,HGNC Symbol,
20437826,20424584,SCARF2,ENSG00000244486,HGNC Symbol,HUMZD58C02
20437826,20424584,SCARF2,ENSG00000244486,HGNC Symbol,SREC-II
20437826,20424584,SCARF2,ENSG00000244486,HGNC Symbol,SREC2
20446620,20429241,,ENSG00000277971,,
20495844,20441519,KLHL22,ENSG00000099910,HGNC Symbol,FLJ14360
20495844,20441519,KLHL22,ENSG00000099910,HGNC Symbol,KELCHL
20451824,20450122,,ENSG00000215493,,
20475311,20475203,RNY1P9,ENSG00000255156,HGNC Symbol,KLHL22-IT1
20475311,20475203,RNY1P9,ENSG00000255156,HGNC Symbol,RNYP1
20481268,20481158,Y_RNA,ENSG00000201916,RFAM,
20482213,20481935,RN7SL812P,ENSG00000242876,HGNC Symbol,
20484105,20482815,KRT18P5,ENSG00000236670,HGNC Symbol,
20587632,20495913,MED15,ENSG00000099917,HGNC Symbol,Arc105
20587632,20495913,MED15,ENSG00000099917,HGNC Symbol,CAG7A
20587632,20495913,MED15,ENSG00000099917,HGNC Symbol,PCQAP
20587632,20495913,MED15,ENSG00000099917,HGNC Symbol,TIG-1
20587632,20495913,MED15,ENSG00000099917,HGNC Symbol,TNRC7
20523870,20522070,,ENSG00000236003,,
20592218,20587496,CCDC74BP1,ENSG00000250261,HGNC Symbol,
20656914,20602595,SMPD4P1,ENSG00000223553,HGNC Symbol,
20632751,20632619,IGLL4P,ENSG00000276427,HGNC Symbol,IGLL4
20654750,20652730,SLC9A3P2,ENSG00000238125,HGNC Symbol,
20670984,20667836,ABHD17AP4,ENSG00000229107,HGNC Symbol,FAM108A5
20670984,20667836,ABHD17AP4,ENSG00000229107,HGNC Symbol,FAM108A5P
20698938,20689929,POM121L4P,ENSG00000217261,HGNC Symbol,
20698934,20697962,BCRP5,ENSG00000235062,HGNC Symbol,BCRL5
20704606,20701114,TMEM191A,ENSG00000226287,HGNC Symbol,DKFZp434N035
20704606,20701114,TMEM191A,ENSG00000226287,HGNC Symbol,TMEM191AP
20859417,20707691,PI4KA,ENSG00000241973,HGNC Symbol,PI4K-ALPHA
20859417,20707691,PI4KA,ENSG00000241973,HGNC Symbol,pi4K230
20859417,20707691,PI4KA,ENSG00000241973,HGNC Symbol,PIK4CA
20787720,20774113,SERPIND1,ENSG00000099937,HGNC Symbol,D22S673
20787720,20774113,SERPIND1,ENSG00000099937,HGNC Symbol,HC-II
20787720,20774113,SERPIND1,ENSG00000099937,HGNC Symbol,HC2
20787720,20774113,SERPIND1,ENSG00000099937,HGNC Symbol,HCF2
20787720,20774113,SERPIND1,ENSG00000099937,HGNC Symbol,HLS2
20891214,20859007,SNAP29,ENSG00000099940,HGNC Symbol,CEDNIK
20891214,20859007,SNAP29,ENSG00000099940,HGNC Symbol,SNAP-29
20891214,20889206,,ENSG00000272600,,
20953747,20917407,CRKL,ENSG00000099942,HGNC Symbol,
20964679,20957092,LINC01637,ENSG00000237476,HGNC Symbol,
20981360,20965108,AIFM3,ENSG00000183773,HGNC Symbol,AIFL
20981360,20965108,AIFM3,ENSG00000183773,HGNC Symbol,FLJ30473
20998121,20979462,,ENSG00000285314,,
20981755,20981361,,ENSG00000272829,,
20999032,20982269,LZTR1,ENSG00000099949,HGNC Symbol,BTBD29
20999032,20982269,LZTR1,ENSG00000099949,HGNC Symbol,LZTR-1
21002196,20999104,THAP7,ENSG00000184436,HGNC Symbol,MGC10963
21010342,21001886,THAP7-AS1,ENSG00000230513,HGNC Symbol,
21009453,21002895,,ENSG00000284060,,
21014292,21008193,TUBA3FP,ENSG00000161149,HGNC Symbol,
21028013,21009808,P2RX6,ENSG00000099957,HGNC Symbol,MGC129625
21028013,21009808,P2RX6,ENSG00000099957,HGNC Symbol,P2RXL1
21028013,21009808,P2RX6,ENSG00000099957,HGNC Symbol,P2X6
21028013,21009808,P2RX6,ENSG00000099957,HGNC Symbol,P2XM
21014217,21011384,,ENSG00000284130,,
21032840,21028718,SLC7A4,ENSG00000099960,HGNC Symbol,CAT-4
